"Dataset","Protein","GSM","SRR","Genotype","Treatment","Replicate","Input","Genome","SequencingStrategy","ReadLength","LibraryLayout","CellLine","Source_GSE"
"XPC","H3K4me3","GSM6600679",NA,"WT","0h_post_UV","1",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600680",NA,"WT","0h_post_UV","1","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600681",NA,"WT","0h_post_UV","2",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600682",NA,"WT","0h_post_UV","2","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600683",NA,"WT","0h_post_UV","3",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600684",NA,"WT","0h_post_UV","3","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600685",NA,"WT","1h_post_UV","1",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600686",NA,"WT","1h_post_UV","1","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600687",NA,"WT","1h_post_UV","2",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600688",NA,"WT","1h_post_UV","2","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600689",NA,"WT","1h_post_UV","3",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600690",NA,"WT","1h_post_UV","3","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600691",NA,"WT","3h_post_UV","1",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600692",NA,"WT","3h_post_UV","1","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600693",NA,"WT","3h_post_UV","2",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600694",NA,"WT","3h_post_UV","2","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600695",NA,"WT","3h_post_UV","3",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600696",NA,"WT","3h_post_UV","3","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600697",NA,"ASH1L-KO","0h_post_UV","1",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600698",NA,"ASH1L-KO","0h_post_UV","1","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600699",NA,"ASH1L-KO","0h_post_UV","2",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600700",NA,"ASH1L-KO","0h_post_UV","2","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600701",NA,"ASH1L-KO","0h_post_UV","3",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600702",NA,"ASH1L-KO","0h_post_UV","3","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600703",NA,"ASH1L-KO","1h_post_UV","1",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600704",NA,"ASH1L-KO","1h_post_UV","1","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600705",NA,"ASH1L-KO","1h_post_UV","2",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600706",NA,"ASH1L-KO","1h_post_UV","2","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600707",NA,"ASH1L-KO","1h_post_UV","3",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600708",NA,"ASH1L-KO","1h_post_UV","3","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600709",NA,"ASH1L-KO","3h_post_UV","1",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600710",NA,"ASH1L-KO","3h_post_UV","1","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600711",NA,"ASH1L-KO","3h_post_UV","2",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600712",NA,"ASH1L-KO","3h_post_UV","2","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600713",NA,"ASH1L-KO","3h_post_UV","3",NA,NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"XPC","H3K4me3","GSM6600714",NA,"ASH1L-KO","3h_post_UV","3","self_input",NA,"ChIP-Seq",NA,NA,"U2OS","GSE214182"
"STAT1_STAT2","IRF9","GSM6928595",NA,"WT","UN","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928596",NA,"WT","UN","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928597",NA,"WT","IFNa_0_5h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928598",NA,"WT","IFNa_0_5h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928599",NA,"WT","IFNa_2h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928600",NA,"WT","IFNa_2h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928601",NA,"WT","IFNa_8h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928602",NA,"WT","IFNa_8h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928603",NA,"WT","IFNa_24h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928604",NA,"WT","IFNa_24h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928605",NA,"WT","IFNa_72h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928606",NA,"WT","IFNa_72h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928607",NA,"WT","IFNy_0_5h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928608",NA,"WT","IFNy_0_5h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928609",NA,"WT","IFNy_4h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928610",NA,"WT","IFNy_4h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928611",NA,"WT","IFNy_24h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928612",NA,"WT","IFNy_24h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928613",NA,"WT","IFNy_72h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928614",NA,"WT","IFNy_72h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928615",NA,"WT","UN","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928616",NA,"WT","UN","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928617",NA,"WT","IFNa_0_5h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928618",NA,"WT","IFNa_0_5h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928619",NA,"WT","IFNa_2h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928620",NA,"WT","IFNa_2h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928621",NA,"WT","IFNa_8h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928622",NA,"WT","IFNa_8h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928623",NA,"WT","IFNa_24h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928624",NA,"WT","IFNa_24h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928625",NA,"WT","IFNa_72h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928626",NA,"WT","IFNa_72h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928627",NA,"WT","IFNy_0_5h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928628",NA,"WT","IFNy_0_5h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928629",NA,"WT","IFNy_4h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928630",NA,"WT","IFNy_4h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928631",NA,"WT","IFNy_24h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928632",NA,"WT","IFNy_24h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928633",NA,"WT","IFNy_72h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928634",NA,"WT","IFNy_72h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM7899559",NA,"STAT1-KO","untreated","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE247724"
"STAT1_STAT2","IRF9","GSM7899561",NA,"STAT1-KO","untreated","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE247724"
"STAT1_STAT2","IRF9","GSM7899562",NA,"STAT1-KO","interferon alpha_2h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE247724"
"STAT1_STAT2","IRF9","GSM7899563",NA,"STAT1-KO","interferon alpha_2h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE247724"
"STAT1_STAT2","IRF9","GSM7899565",NA,"STAT1-KO","interferon alpha_24h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE247724"
"STAT1_STAT2","IRF9","GSM7899566",NA,"STAT1-KO","interferon alpha_24h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE247724"
"STAT1_STAT2","IRF9","GSM7899567",NA,"STAT1-KO","interferon alpha_72h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE247724"
"STAT1_STAT2","IRF9","GSM7899569",NA,"STAT1-KO","interferon alpha_72h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE247724"
